kanjiID,kanji,authorsNote,kunyomiReadingOne,kunyomiReadingTwo,kunyomiReadingThree,kunyomiVocabWordOne,kunyomiVocabWordReadingOne,kunyomiVocabWordMeaningOne,kunyomiSampleSentenceOne,kunyomiSampleSentenceMeaningOne,kunyomiVocabWordTwo,kunyomiVocabWordReadingTwo,kunyomiVocabWordMeaningTwo,kunyomiSampleSentenceTwo,kunyomiSampleSentenceMeaningTwo,kunyomiVocabWordThree,kunyomiVocabWordReadingThree,kunyomiVocabWordMeaningThree,kunyomiSampleSentenceThree,kunyomiSampleSentenceMeaningThree,kunyomiVocabWordFour,kunyomiVocabWordReadingFour,kunyomiVocabWordMeaningFour,kunyomiSampleSentenceFour,kunyomiSampleSentenceMeaningFour,kunyomiVocabWordFive,kunyomiVocabWordReadingFive,kunyomiVocabWordMeaningFive,kunyomiSampleSentenceFive,kunyomiSampleSentenceMeaningFive,kunyomiVocabWordSix,kunyomiVocabWordReadingSix,kunyomiVocabWordMeaningSix,kunyomiSampleSentenceSix,kunyomiSampleSentenceMeaningSix,kunyomiMultipleChoiceReadingOne,kunyomiMultipleChoiceReadingTwo,kunyomiMultipleChoiceReadingThree,kunyomiMultipleChoiceReadingFour,kunyomiMultipleChoiceReadingFive,kunyomiMultipleChoiceReadingSix,furiganaKunyomiSampleSentenceOne,furiganaKunyomiSampleSentenceTwo,furiganaKunyomiSampleSentenceThree,furiganaKunyomiSampleSentenceFour,furiganaKunyomiSampleSentenceFive,furiganaKunyomiSampleSentenceSix,associatedLevel
4,月,None,げつ,がつ,None,月曜//よう//日,げつようび,Monday,今日は月曜日です。,Today is Monday.,一月,いちがつ,January,一月は寒いです。,January is cold.,,,,,,,,,,,,,,,,,,,,,"げつ,けつ,げっ,くつ","がつ,ごつ,こつ,ちょう",,,,,"[{'今日': 'きょう'}, {'月曜日': 'げつようび'}]","[{'一月': 'いちがつ'}, {'寒': 'さむ'}]",,,,,1
5,雨,None,う,None,None,雨天//てん//,うてん,Rainy weather,雨天のため、今日の試合は中止です。,"Due to rainy weather, today’s game is canceled.",,,,,,,,,,,,,,,,,,,,,,,,,,"う,あめ,あま,うか",,,,,,"[{'雨天': 'うてん'}, {'今日': 'きょう'}, {'試合': 'しあい'}, {'中止': 'ちゅうし'}]",,,,,,1
6,大,None,だい,たい,None,大学,だいがく,University,彼は大学生です。,He is a university student.,大した,たいした,"Great, Big",大したことない,It's not a big deal.,,,,,,,,,,,,,,,,,,,,,"だい,いっぱい,た,てい","たい,だい,た,てい",,,,,"[{'彼': 'かれ'}, {'大学生': 'だいがくせい'}]",[{'大': 'たい'}],,,,,1
7,十,None,じゅう,None,None,十人,じゅうにん,Ten people,このクラスには十人います。,This class has ten people.,十回//かい//,じゅっかい,Ten times,私はこのゲームを十回しました。,I played this game ten times.,,,,,,,,,,,,,,,,,,,,,"じゅう,じょ,じゅうご,じゅじゅ","じゅっ,じょ,しゅう,ちゅう",,,,,"[{'十': 'じゅう'},{'人': 'にん'}]","[{'私': 'わたし'}, {'十回': 'じゅっかい'}]",,,,,1
8,二,None,に,None,None,二,に,"Two, 2",バナナを二本ください。,Please give me two bananas.,,,,,,,,,,,,,,,,,,,,,,,,,,"に,じ,り,さん",,,,,,"[{'二': 'に'}, {'本': 'ほん'}]",,,,,,1

